2025-04-04T21:50:57.716+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:50:12.289770+00:00 [queued]>
2025-04-04T21:50:57.907+0000 [WARNING] Line 31 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.907+0000 [WARNING] Line 32 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.907+0000 [WARNING] Line 33 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.908+0000 [WARNING] Line 34 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.908+0000 [WARNING] Line 35 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.908+0000 [WARNING] Line 36 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.908+0000 [WARNING] Line 37 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.909+0000 [WARNING] Line 38 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.909+0000 [WARNING] Line 39 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.909+0000 [WARNING] Line 40 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.909+0000 [WARNING] Line 41 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.909+0000 [WARNING] Line 42 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 43 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 44 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 45 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 46 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 47 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 48 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.910+0000 [WARNING] Line 49 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.911+0000 [WARNING] Line 50 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.911+0000 [WARNING] Line 51 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.911+0000 [WARNING] Line 52 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.912+0000 [WARNING] Line 53 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.912+0000 [WARNING] Line 54 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.912+0000 [WARNING] Line 55 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.912+0000 [WARNING] Line 56 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.912+0000 [WARNING] Line 57 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 58 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 59 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 60 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 61 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 62 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 63 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 64 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.913+0000 [WARNING] Line 65 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 66 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 67 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 68 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 69 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 70 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 71 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 72 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.914+0000 [WARNING] Line 73 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 74 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 75 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 76 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 77 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 78 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 79 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 80 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 81 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.915+0000 [WARNING] Line 82 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 83 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 84 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 85 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 86 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 87 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 88 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 89 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 90 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.916+0000 [WARNING] Line 91 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 92 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 93 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 94 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 95 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 96 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 97 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 98 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 99 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.917+0000 [WARNING] Line 100 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.918+0000 [WARNING] Line 101 has 18 fields - attempting smart truncation
2025-04-04T21:50:57.918+0000 [WARNING] Line 102 has 18 fields - attempting smart truncation
