2025-04-04T17:31:34.879+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:44.270060+00:00 [queued]>
2025-04-04T17:31:34.918+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:44.270060+00:00 [queued]>
2025-04-04T17:31:34.920+0000 [INFO] Starting attempt 1 of 4
2025-04-04T17:31:34.938+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 16:57:44.270060+00:00
2025-04-04T17:31:34.946+0000 [INFO] Started process 2588 to run task
2025-04-04T17:31:34.951+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T16:57:44.270060+00:00', '--job-id', '849', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpaijxk3g6']
2025-04-04T17:31:34.953+0000 [INFO] Job 849: Subtask processing.extract
2025-04-04T17:31:35.049+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:44.270060+00:00 [running]> on host 6adf0d434abe
2025-04-04T17:31:37.010+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-04T17:31:37.010+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-04T17:31:37.010+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-04T17:31:37.010+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-04T17:31:37.011+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-04T17:31:37.012+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-04T17:31:37.012+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-04T17:31:37.013+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-04T17:31:37.014+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-04T17:31:37.015+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-04T17:31:37.015+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-04T17:31:37.016+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-04T17:31:37.016+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-04T17:31:37.017+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-04T17:31:37.018+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-04T17:31:37.020+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-04T17:31:37.020+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-04T17:31:37.021+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-04T17:31:37.022+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-04T17:31:37.024+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-04T17:31:37.024+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-04T17:31:37.024+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-04T17:31:37.025+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-04T17:31:37.025+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-04T17:31:37.025+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-04T17:31:37.025+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-04T17:31:37.026+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-04T17:31:37.026+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-04T17:31:37.026+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-04T17:31:37.027+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-04T17:31:37.027+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-04T17:31:37.027+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-04T17:31:37.027+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-04T17:31:37.028+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-04T17:31:37.028+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-04T17:31:37.028+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-04T17:31:37.028+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-04T17:31:37.028+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-04T17:31:37.029+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-04T17:31:37.029+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-04T17:31:37.029+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-04T17:31:37.029+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-04T17:31:37.030+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-04T17:31:37.030+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-04T17:31:37.030+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-04T17:31:37.030+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-04T17:31:37.030+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-04T17:31:37.031+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-04T17:31:37.031+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-04T17:31:37.031+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-04T17:31:37.031+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-04T17:31:37.031+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-04T17:31:37.032+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-04T17:31:37.032+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-04T17:31:37.032+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-04T17:31:37.032+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-04T17:31:37.033+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-04T17:31:37.033+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-04T17:31:37.033+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-04T17:31:37.033+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-04T17:31:37.033+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-04T17:31:37.034+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-04T17:31:37.034+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-04T17:31:37.034+0000 [WARNING] Line 91 has 18 fields - truncating to 14
