2025-04-04T21:50:43.453+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:50:10.870068+00:00 [queued]>
2025-04-04T21:50:43.678+0000 [WARNING] Line 14 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.678+0000 [WARNING] Line 15 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.678+0000 [WARNING] Line 16 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.678+0000 [WARNING] Line 17 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.678+0000 [WARNING] Line 18 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.679+0000 [WARNING] Line 19 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.679+0000 [WARNING] Line 20 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.679+0000 [WARNING] Line 21 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.679+0000 [WARNING] Line 22 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.679+0000 [WARNING] Line 23 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.680+0000 [WARNING] Line 24 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.680+0000 [WARNING] Line 25 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.680+0000 [WARNING] Line 26 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.680+0000 [WARNING] Line 27 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 28 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 29 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 30 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 31 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 32 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 33 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 34 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.681+0000 [WARNING] Line 35 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 36 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 37 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 38 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 39 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 40 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 41 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 42 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 43 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.682+0000 [WARNING] Line 44 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 45 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 46 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 47 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 48 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 49 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 50 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 51 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.683+0000 [WARNING] Line 52 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 53 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 54 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 55 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 56 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 57 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 58 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.684+0000 [WARNING] Line 59 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 60 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 61 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 62 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 63 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 64 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 65 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 66 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 67 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.685+0000 [WARNING] Line 68 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 69 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 70 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 71 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 72 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 73 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 74 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 75 has 18 fields - attempting smart truncation
2025-04-04T21:50:43.686+0000 [WARNING] Line 76 has 18 fields - attempting smart truncation
