2025-04-05T22:52:23.097+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-05T22:47:00.175444+00:00 [queued]>
2025-04-05T22:52:23.367+0000 [WARNING] Line 40 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.367+0000 [WARNING] Line 41 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.367+0000 [WARNING] Line 42 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.367+0000 [WARNING] Line 43 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 44 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 45 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 46 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 47 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 48 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 49 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 50 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 51 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.368+0000 [WARNING] Line 52 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 53 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 54 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 55 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 56 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 57 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 58 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 59 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.369+0000 [WARNING] Line 60 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 61 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 62 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 63 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 64 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 65 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 66 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 67 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 68 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 69 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.370+0000 [WARNING] Line 70 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 71 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 72 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 73 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 74 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 75 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 76 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 77 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 82 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.371+0000 [WARNING] Line 83 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 84 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 85 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 86 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 87 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 88 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 89 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 90 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 91 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.372+0000 [WARNING] Line 92 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 93 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 94 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 95 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 96 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 97 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 98 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 99 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 100 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.373+0000 [WARNING] Line 101 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 102 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 103 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 104 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 105 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 106 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 107 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 108 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 109 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 110 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.374+0000 [WARNING] Line 111 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 112 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 113 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 114 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 115 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 116 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 117 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 118 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 119 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 120 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.375+0000 [WARNING] Line 121 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 122 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 123 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 124 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 125 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 126 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 127 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 128 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 129 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.376+0000 [WARNING] Line 130 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.377+0000 [WARNING] Line 131 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.377+0000 [WARNING] Line 132 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.377+0000 [WARNING] Line 133 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.377+0000 [WARNING] Line 134 has 18 fields - attempting smart truncation
