2025-04-04T21:51:29.721+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T21:46:24.490102+00:00 [queued]>
2025-04-04T21:51:29.727+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T21:46:24.490102+00:00 [queued]>
2025-04-04T21:51:29.727+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:51:29.925+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:46:24.490102+00:00
2025-04-04T21:51:29.929+0000 [INFO] Started process 2469 to run task
2025-04-04T21:51:29.934+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T21:46:24.490102+00:00', '--job-id', '810', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpkam0lf27']
2025-04-04T21:51:29.936+0000 [INFO] Job 810: Subtask processing.extract
2025-04-04T21:51:30.054+0000 [WARNING] Line 20 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.054+0000 [WARNING] Line 21 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.055+0000 [WARNING] Line 22 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.055+0000 [WARNING] Line 23 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.055+0000 [WARNING] Line 24 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.056+0000 [WARNING] Line 25 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.056+0000 [WARNING] Line 26 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.056+0000 [WARNING] Line 27 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.057+0000 [WARNING] Line 28 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.057+0000 [WARNING] Line 29 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.058+0000 [WARNING] Line 30 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.058+0000 [WARNING] Line 31 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.058+0000 [WARNING] Line 32 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.058+0000 [WARNING] Line 33 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.059+0000 [WARNING] Line 34 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.059+0000 [WARNING] Line 35 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.059+0000 [WARNING] Line 36 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.059+0000 [WARNING] Line 37 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.059+0000 [WARNING] Line 38 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.059+0000 [WARNING] Line 39 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.060+0000 [WARNING] Line 40 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.060+0000 [WARNING] Line 41 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.060+0000 [WARNING] Line 42 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.060+0000 [WARNING] Line 43 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.060+0000 [WARNING] Line 44 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.060+0000 [WARNING] Line 45 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.061+0000 [WARNING] Line 46 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.061+0000 [WARNING] Line 47 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.061+0000 [WARNING] Line 48 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.062+0000 [WARNING] Line 49 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.062+0000 [WARNING] Line 50 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.062+0000 [WARNING] Line 51 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.062+0000 [WARNING] Line 52 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.063+0000 [WARNING] Line 53 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.063+0000 [WARNING] Line 54 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.063+0000 [WARNING] Line 55 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.064+0000 [WARNING] Line 56 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.064+0000 [WARNING] Line 57 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.064+0000 [WARNING] Line 58 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.064+0000 [WARNING] Line 59 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.065+0000 [WARNING] Line 60 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.065+0000 [WARNING] Line 61 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.065+0000 [WARNING] Line 62 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.065+0000 [WARNING] Line 63 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.066+0000 [WARNING] Line 64 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.066+0000 [WARNING] Line 65 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.066+0000 [WARNING] Line 66 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.067+0000 [WARNING] Line 67 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.067+0000 [WARNING] Line 68 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.067+0000 [WARNING] Line 69 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.067+0000 [WARNING] Line 70 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.068+0000 [WARNING] Line 71 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.068+0000 [WARNING] Line 72 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.068+0000 [WARNING] Line 73 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.068+0000 [WARNING] Line 74 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.068+0000 [WARNING] Line 75 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.069+0000 [WARNING] Line 76 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.069+0000 [WARNING] Line 77 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.069+0000 [WARNING] Line 78 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.069+0000 [WARNING] Line 79 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.069+0000 [WARNING] Line 80 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.069+0000 [WARNING] Line 81 has 18 fields - attempting smart truncation
