2025-04-03T22:39:34.493+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:30.645276+00:00 [queued]>
2025-04-03T22:39:34.504+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:30.645276+00:00 [queued]>
2025-04-03T22:39:34.505+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:39:34.518+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:38:30.645276+00:00
2025-04-03T22:39:34.522+0000 [INFO] Started process 1908 to run task
2025-04-03T22:39:34.527+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:38:30.645276+00:00', '--job-id', '623', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp600uthnm']
2025-04-03T22:39:34.529+0000 [INFO] Job 623: Subtask processing.extract
2025-04-03T22:39:34.594+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:30.645276+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:39:35.315+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:39:35.316+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:39:35.316+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:39:35.317+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:39:35.318+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:39:35.319+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-03T22:39:35.319+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-03T22:39:35.320+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-03T22:39:35.320+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-03T22:39:35.321+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-03T22:39:35.321+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-03T22:39:35.322+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-03T22:39:35.322+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:39:35.323+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:39:35.324+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:39:35.324+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:39:35.324+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:39:35.325+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:39:35.325+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:39:35.326+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:39:35.326+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:39:35.327+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:39:35.327+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:39:35.327+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:39:35.328+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-03T22:39:35.328+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-03T22:39:35.329+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-03T22:39:35.329+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:39:35.330+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:39:35.331+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:39:35.335+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:39:35.335+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-03T22:39:35.335+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-03T22:39:35.336+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-03T22:39:35.336+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-03T22:39:35.336+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-03T22:39:35.337+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-03T22:39:35.337+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-03T22:39:35.337+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-03T22:39:35.338+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-03T22:39:35.338+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-03T22:39:35.338+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-03T22:39:35.339+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-03T22:39:35.339+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-03T22:39:35.340+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-03T22:39:35.341+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-03T22:39:35.341+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-03T22:39:35.342+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-03T22:39:35.342+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-03T22:39:35.344+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-03T22:39:35.344+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-03T22:39:35.344+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-03T22:39:35.345+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-03T22:39:35.345+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-03T22:39:35.345+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-03T22:39:35.383+0000 [WARNING] Line 115 has 18 fields - truncating to 14
2025-04-03T22:39:35.384+0000 [WARNING] Line 116 has 18 fields - truncating to 14
2025-04-03T22:39:35.385+0000 [WARNING] Line 117 has 18 fields - truncating to 14
2025-04-03T22:39:35.385+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-03T22:39:35.386+0000 [WARNING] Line 119 has 18 fields - truncating to 14
2025-04-03T22:39:35.389+0000 [WARNING] Line 120 has 18 fields - truncating to 14
2025-04-03T22:39:35.390+0000 [WARNING] Line 121 has 18 fields - truncating to 14
2025-04-03T22:39:35.391+0000 [WARNING] Line 122 has 18 fields - truncating to 14
2025-04-03T22:39:35.392+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-03T22:39:35.393+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-03T22:39:35.394+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-03T22:39:35.394+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-03T22:39:35.395+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-03T22:39:35.396+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-03T22:39:35.397+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-03T22:39:35.398+0000 [WARNING] Line 130 has 18 fields - truncating to 14
2025-04-03T22:39:35.399+0000 [WARNING] Line 131 has 18 fields - truncating to 14
2025-04-03T22:39:35.400+0000 [WARNING] Line 132 has 18 fields - truncating to 14
2025-04-03T22:39:35.401+0000 [WARNING] Line 133 has 18 fields - truncating to 14
2025-04-03T22:39:35.402+0000 [WARNING] Line 134 has 18 fields - truncating to 14
2025-04-03T22:39:35.403+0000 [WARNING] Line 135 has 18 fields - truncating to 14
2025-04-03T22:39:35.405+0000 [WARNING] Line 136 has 18 fields - truncating to 14
2025-04-03T22:39:35.405+0000 [WARNING] Line 137 has 18 fields - truncating to 14
2025-04-03T22:39:35.407+0000 [WARNING] Line 138 has 18 fields - truncating to 14
2025-04-03T22:39:35.407+0000 [WARNING] Line 139 has 18 fields - truncating to 14
2025-04-03T22:39:35.408+0000 [WARNING] Line 140 has 18 fields - truncating to 14
2025-04-03T22:39:35.412+0000 [WARNING] Line 141 has 18 fields - truncating to 14
2025-04-03T22:39:35.413+0000 [WARNING] Line 142 has 18 fields - truncating to 14
2025-04-03T22:39:35.414+0000 [WARNING] Line 143 has 18 fields - truncating to 14
2025-04-03T22:39:35.415+0000 [WARNING] Line 144 has 18 fields - truncating to 14
