2025-04-03T22:35:47.405+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:35:38.690435+00:00 [queued]>
2025-04-03T22:35:47.426+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:35:38.690435+00:00 [queued]>
2025-04-03T22:35:47.426+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:35:47.437+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:35:38.690435+00:00
2025-04-03T22:35:47.441+0000 [INFO] Started process 1283 to run task
2025-04-03T22:35:47.445+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:35:38.690435+00:00', '--job-id', '415', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmprbib4rq1']
2025-04-03T22:35:47.447+0000 [INFO] Job 415: Subtask processing.extract
2025-04-03T22:35:48.849+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:35:48.850+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:35:48.850+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:35:48.850+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:35:48.851+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:35:48.851+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-03T22:35:48.852+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-03T22:35:48.892+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-03T22:35:48.892+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-03T22:35:48.893+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-03T22:35:48.894+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-03T22:35:48.895+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-03T22:35:48.896+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:35:48.897+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:35:48.898+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:35:48.898+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:35:48.898+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:35:48.899+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:35:48.899+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:35:48.900+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:35:48.901+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:35:48.902+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:35:48.903+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:35:48.904+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:35:48.904+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-03T22:35:48.905+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-03T22:35:48.905+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-03T22:35:48.906+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:35:48.906+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:35:48.907+0000 [WARNING] Line 89 has 18 fields - truncating to 14
