2025-04-04T21:49:16.588+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:47:56.087154+00:00 [queued]>
2025-04-04T21:49:16.860+0000 [WARNING] Line 161 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.860+0000 [WARNING] Line 162 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.860+0000 [WARNING] Line 163 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.860+0000 [WARNING] Line 164 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 165 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 166 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 167 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 168 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 169 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 170 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 171 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.861+0000 [WARNING] Line 172 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 173 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 174 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 175 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 176 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 177 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 178 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 179 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.862+0000 [WARNING] Line 180 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 181 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 182 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 183 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 184 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 185 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 186 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.863+0000 [WARNING] Line 187 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 188 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 189 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 190 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 191 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 192 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 193 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 194 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.864+0000 [WARNING] Line 195 has 18 fields - attempting smart truncation
2025-04-04T21:49:16.865+0000 [WARNING] Line 196 has 18 fields - attempting smart truncation
