2025-04-03T22:36:17.917+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:36:03.698396+00:00 [queued]>
2025-04-03T22:36:17.929+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:36:03.698396+00:00 [queued]>
2025-04-03T22:36:17.930+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:36:17.939+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:36:03.698396+00:00
2025-04-03T22:36:17.946+0000 [INFO] Started process 1362 to run task
2025-04-03T22:36:17.950+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:36:03.698396+00:00', '--job-id', '440', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpk2vvou0h']
2025-04-03T22:36:17.952+0000 [INFO] Job 440: Subtask processing.extract
2025-04-03T22:36:18.015+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:36:03.698396+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:36:20.045+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-03T22:36:20.045+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-03T22:36:20.045+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-03T22:36:20.045+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-03T22:36:20.045+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:36:20.046+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:36:20.046+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:36:20.046+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:36:20.046+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:36:20.046+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:36:20.046+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:36:20.047+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:36:20.047+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:36:20.047+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:36:20.047+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:36:20.047+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-03T22:36:20.048+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-03T22:36:20.048+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-03T22:36:20.048+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-03T22:36:20.048+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-03T22:36:20.048+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-03T22:36:20.049+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-03T22:36:20.050+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-03T22:36:20.050+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-03T22:36:20.050+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-03T22:36:20.051+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-03T22:36:20.051+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-03T22:36:20.051+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-03T22:36:20.051+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-03T22:36:20.051+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-03T22:36:20.052+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-03T22:36:20.089+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-03T22:36:20.090+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-03T22:36:20.092+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-03T22:36:20.092+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-03T22:36:20.093+0000 [WARNING] Line 115 has 18 fields - truncating to 14
