2025-04-04T15:43:17.012+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [queued]>
2025-04-04T15:43:17.020+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [queued]>
2025-04-04T15:43:17.020+0000 [INFO] Starting attempt 1 of 4
2025-04-04T15:43:17.573+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-04T15:43:17.573+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-04T15:43:17.574+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-04T15:43:17.574+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-04T15:43:17.574+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-04T15:43:17.575+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-04T15:43:17.575+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-04T15:43:17.575+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-04T15:43:17.576+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-04T15:43:17.576+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-04T15:43:17.577+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-04T15:43:17.577+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-04T15:43:17.578+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-04T15:43:17.579+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-04T15:43:17.579+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-04T15:43:17.580+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-04T15:43:17.580+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-04T15:43:17.581+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-04T15:43:17.581+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-04T15:43:17.581+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-04T15:43:17.583+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-04T15:43:17.586+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-04T15:43:17.587+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-04T15:43:17.588+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-04T15:43:17.588+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-04T15:43:17.588+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-04T15:43:17.589+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-04T15:43:17.589+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-04T15:43:17.589+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-04T15:43:17.589+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-04T15:43:17.590+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-04T15:43:17.590+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-04T15:43:17.591+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-04T15:43:17.591+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-04T15:43:17.591+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-04T15:43:17.591+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-04T15:43:17.592+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-04T15:43:17.592+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-04T15:43:17.592+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-04T15:43:17.593+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-04T15:43:17.593+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-04T15:43:17.593+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-04T15:43:17.594+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-04T15:43:17.594+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-04T15:43:17.594+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-04T15:43:17.594+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-04T15:43:17.595+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-04T15:43:17.595+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-04T15:43:17.595+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-04T15:43:17.595+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-04T15:43:17.595+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-04T15:43:17.596+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-04T15:43:17.596+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-04T15:43:17.596+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-04T15:43:17.596+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-04T15:43:17.596+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-04T15:43:17.597+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-04T15:43:17.597+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-04T15:43:17.597+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-04T15:43:17.597+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-04T15:43:17.597+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-04T15:43:17.598+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-04T15:43:17.598+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-04T15:43:17.599+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-04T15:43:17.599+0000 [WARNING] Line 115 has 18 fields - truncating to 14
2025-04-04T15:43:17.599+0000 [WARNING] Line 116 has 18 fields - truncating to 14
2025-04-04T15:43:17.599+0000 [WARNING] Line 117 has 18 fields - truncating to 14
2025-04-04T15:43:17.599+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-04T15:43:17.599+0000 [WARNING] Line 119 has 18 fields - truncating to 14
2025-04-04T15:43:17.600+0000 [WARNING] Line 120 has 18 fields - truncating to 14
2025-04-04T15:43:17.600+0000 [WARNING] Line 121 has 18 fields - truncating to 14
2025-04-04T15:43:17.600+0000 [WARNING] Line 122 has 18 fields - truncating to 14
2025-04-04T15:43:17.600+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-04T15:43:17.600+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-04T15:43:17.600+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-04T15:43:17.601+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-04T15:43:17.601+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-04T15:43:17.602+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-04T15:43:17.602+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-04T15:43:17.602+0000 [WARNING] Line 130 has 18 fields - truncating to 14
2025-04-04T15:43:17.602+0000 [WARNING] Line 131 has 18 fields - truncating to 14
2025-04-04T15:43:17.603+0000 [WARNING] Line 132 has 18 fields - truncating to 14
2025-04-04T15:43:17.604+0000 [WARNING] Line 133 has 18 fields - truncating to 14
2025-04-04T15:43:17.604+0000 [WARNING] Line 134 has 18 fields - truncating to 14
2025-04-04T15:43:17.604+0000 [WARNING] Line 135 has 18 fields - truncating to 14
2025-04-04T15:43:17.604+0000 [WARNING] Line 136 has 18 fields - truncating to 14
2025-04-04T15:43:17.604+0000 [WARNING] Line 137 has 18 fields - truncating to 14
2025-04-04T15:43:17.605+0000 [WARNING] Line 138 has 18 fields - truncating to 14
2025-04-04T15:43:17.605+0000 [WARNING] Line 139 has 18 fields - truncating to 14
2025-04-04T15:43:17.606+0000 [WARNING] Line 140 has 18 fields - truncating to 14
2025-04-04T15:43:17.607+0000 [WARNING] Line 141 has 18 fields - truncating to 14
2025-04-04T15:43:17.608+0000 [WARNING] Line 142 has 18 fields - truncating to 14
2025-04-04T15:43:17.609+0000 [WARNING] Line 143 has 18 fields - truncating to 14
2025-04-04T15:43:17.609+0000 [WARNING] Line 144 has 18 fields - truncating to 14
2025-04-04T15:43:17.609+0000 [WARNING] Line 145 has 18 fields - truncating to 14
2025-04-04T15:43:17.609+0000 [WARNING] Line 146 has 18 fields - truncating to 14
2025-04-04T15:43:17.609+0000 [WARNING] Line 147 has 18 fields - truncating to 14
2025-04-04T15:43:17.612+0000 [WARNING] Line 148 has 18 fields - truncating to 14
2025-04-04T15:43:17.612+0000 [WARNING] Line 149 has 18 fields - truncating to 14
2025-04-04T15:43:17.613+0000 [WARNING] Line 150 has 18 fields - truncating to 14
2025-04-04T15:43:17.613+0000 [WARNING] Line 151 has 18 fields - truncating to 14
2025-04-04T15:43:17.613+0000 [WARNING] Line 152 has 18 fields - truncating to 14
2025-04-04T15:43:17.613+0000 [WARNING] Line 153 has 18 fields - truncating to 14
2025-04-04T15:43:17.613+0000 [WARNING] Line 154 has 18 fields - truncating to 14
2025-04-04T15:43:17.613+0000 [WARNING] Line 155 has 18 fields - truncating to 14
2025-04-04T15:43:17.614+0000 [WARNING] Line 156 has 18 fields - truncating to 14
