2025-04-04T21:45:24.565+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:44:23.281691+00:00 [queued]>
2025-04-04T21:45:24.876+0000 [WARNING] Line 58 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.876+0000 [WARNING] Line 59 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.876+0000 [WARNING] Line 60 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 61 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 62 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 63 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 64 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 65 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 66 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.877+0000 [WARNING] Line 67 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 68 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 69 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 70 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 71 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 72 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 73 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.878+0000 [WARNING] Line 74 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 75 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 76 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 77 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 78 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 79 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 84 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 85 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 86 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.879+0000 [WARNING] Line 87 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 88 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 89 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 90 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 91 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 92 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 93 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 94 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 95 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.880+0000 [WARNING] Line 96 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.881+0000 [WARNING] Line 97 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.881+0000 [WARNING] Line 98 has 18 fields - attempting smart truncation
