2025-04-04T21:44:19.756+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:43:21.567094+00:00 [queued]>
2025-04-04T21:44:19.762+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:43:21.567094+00:00 [queued]>
2025-04-04T21:44:19.762+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:44:19.979+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:43:21.567094+00:00
2025-04-04T21:44:19.987+0000 [INFO] Started process 1869 to run task
2025-04-04T21:44:19.992+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-04T21:43:21.567094+00:00', '--job-id', '610', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpr8u6r7nm']
2025-04-04T21:44:19.995+0000 [INFO] Job 610: Subtask processing.extract
2025-04-04T21:44:20.167+0000 [WARNING] Line 56 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.167+0000 [WARNING] Line 57 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.167+0000 [WARNING] Line 58 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.167+0000 [WARNING] Line 59 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.167+0000 [WARNING] Line 60 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.167+0000 [WARNING] Line 61 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.167+0000 [WARNING] Line 62 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 63 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 64 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 65 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 66 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 67 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 68 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.168+0000 [WARNING] Line 69 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 70 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 71 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 72 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 73 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 74 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 75 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 76 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 77 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.169+0000 [WARNING] Line 78 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 79 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 80 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 81 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 82 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 83 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 84 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.170+0000 [WARNING] Line 85 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 86 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 87 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 88 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 89 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 90 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 91 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 92 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.171+0000 [WARNING] Line 93 has 18 fields - attempting smart truncation
