2025-04-03T22:39:43.729+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:38.350002+00:00 [queued]>
2025-04-03T22:39:43.739+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:38.350002+00:00 [queued]>
2025-04-03T22:39:43.742+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:39:43.791+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:38:38.350002+00:00
2025-04-03T22:39:43.804+0000 [INFO] Started process 1938 to run task
2025-04-03T22:39:43.814+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:38:38.350002+00:00', '--job-id', '632', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp11j3ub0v']
2025-04-03T22:39:43.819+0000 [INFO] Job 632: Subtask processing.extract
2025-04-03T22:39:43.924+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:38.350002+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:39:45.285+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:39:45.285+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:39:45.286+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:39:45.286+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-03T22:39:45.286+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-03T22:39:45.287+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-03T22:39:45.287+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-03T22:39:45.287+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-03T22:39:45.287+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-03T22:39:45.288+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-03T22:39:45.288+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-03T22:39:45.288+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-03T22:39:45.288+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-03T22:39:45.289+0000 [WARNING] Line 58 has 18 fields - truncating to 14
