2025-04-03T22:37:50.900+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:26.944872+00:00 [queued]>
2025-04-03T22:37:50.910+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:26.944872+00:00 [queued]>
2025-04-03T22:37:50.910+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:37:50.920+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:37:26.944872+00:00
2025-04-03T22:37:50.924+0000 [INFO] Started process 1583 to run task
2025-04-03T22:37:50.928+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:37:26.944872+00:00', '--job-id', '515', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmppdv6mdyf']
2025-04-03T22:37:50.932+0000 [INFO] Job 515: Subtask processing.extract
2025-04-03T22:37:51.740+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-03T22:37:51.740+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-03T22:37:51.790+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-03T22:37:51.791+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-03T22:37:51.792+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-03T22:37:51.792+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-03T22:37:51.792+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-03T22:37:51.793+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-03T22:37:51.793+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:37:51.793+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:37:51.794+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:37:51.794+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:37:51.794+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:37:51.795+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-03T22:37:51.795+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-03T22:37:51.795+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-03T22:37:51.795+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-03T22:37:51.796+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-03T22:37:51.796+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-03T22:37:51.796+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-03T22:37:51.797+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:37:51.797+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:37:51.798+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:37:51.798+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:37:51.798+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:37:51.799+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:37:51.799+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:37:51.799+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:37:51.799+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:37:51.800+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:37:51.800+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:37:51.800+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:37:51.801+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-03T22:37:51.801+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-03T22:37:51.801+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-03T22:37:51.801+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:37:51.802+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:37:51.802+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:37:51.802+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:37:51.803+0000 [WARNING] Line 91 has 18 fields - truncating to 14
